Date,Time,Route
,Forenoon,
17.08.25 (MON),8.00 AM,"Kidangoor - CEP (Pala - 8.20 AM, approx time) *No stop at/after Poonjar"
,8.00 AM,"Mundakayam - CEP (Kanjirappally - 8.20 AM, Erattupetta - 8.45 AM, approx time)"
,8.15 AM,"Kanjirappally - CEP (Erattupetta - 8.40 AM, approx time) *No stop at/after Poonjar"
,9.15 AM,Poonjar - CEP
,9.15 AM,Poonjar - CEP
,Afternoon,
,4.15 PM,CEP - Poonjar
,4.15 PM,CEP - Poonjar
,4.35 PM,CEP - Kidangoor (No stop before/at Poonjar)
,4.35 PM,CEP - Mundakayam (No stop before/at Poonjar)
,4.35 PM,CEP - Kanjirappally
